               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026194,            0.015091,            0.029566,             0.49536,             0.59872,             0.62833,             0.33126,            0.015089,           0.0047733,            0.017265,             0.00769,             0.00769,             0.00769
                  37,            0.031465,            0.014523,            0.038482,              0.5239,             0.66307,             0.68259,             0.29906,            0.019927,           0.0045235,            0.016292,            0.007624,            0.007624,            0.007624
                  38,            0.025371,            0.014866,            0.023841,             0.51266,             0.78191,             0.70281,              0.4262,             0.01346,           0.0044061,            0.015779,            0.007558,            0.007558,            0.007558
                  39,            0.030434,            0.013185,            0.029472,             0.61823,             0.77895,             0.74456,             0.47382,            0.014802,            0.004196,             0.01493,            0.007492,            0.007492,            0.007492
                  40,             0.03311,            0.013248,            0.032005,             0.60197,              0.7524,              0.7386,             0.48857,            0.014921,           0.0040679,            0.014928,            0.007426,            0.007426,            0.007426
                  41,             0.02616,            0.014921,            0.028281,             0.52226,             0.75443,              0.6994,             0.43784,              0.0184,           0.0039606,            0.014328,             0.00736,             0.00736,             0.00736
                  42,            0.029789,            0.012581,            0.026252,             0.66848,              0.7264,             0.76748,             0.56068,            0.012929,            0.003977,            0.014168,            0.007294,            0.007294,            0.007294
                  43,            0.030087,            0.013796,            0.028916,              0.6364,              0.7157,             0.77877,             0.52792,              0.0115,           0.0038529,            0.014207,            0.007228,            0.007228,            0.007228
                  44,            0.025621,            0.012197,            0.021882,             0.54735,             0.72458,             0.70046,             0.40386,            0.019974,           0.0038343,            0.013683,            0.007162,            0.007162,            0.007162
                  45,             0.02502,            0.013458,              0.0228,             0.66644,              0.8176,             0.81908,             0.54852,            0.014087,            0.004037,            0.012861,            0.007096,            0.007096,            0.007096
                  46,            0.024303,            0.011953,            0.021875,             0.66052,             0.78167,             0.81718,             0.52145,            0.010819,           0.0040122,            0.012678,             0.00703,             0.00703,             0.00703
                  47,            0.029205,            0.014021,             0.02786,             0.69674,             0.73878,             0.79577,              0.4224,            0.017017,           0.0037722,            0.011952,            0.006964,            0.006964,            0.006964
                  48,            0.026539,              0.0123,             0.01947,             0.74528,             0.76597,             0.82784,             0.57887,            0.013128,           0.0037627,            0.011646,            0.006898,            0.006898,            0.006898
                  49,            0.030916,              0.0134,            0.026089,             0.70692,             0.76851,             0.80487,             0.53995,            0.011933,           0.0041341,            0.011506,            0.006832,            0.006832,            0.006832
